予約ID(自動発行),コースID,予約名（自動反映）,コース案内（自動反映）,グループ名,日程,開始日時,完了日時,開催場所,イベントID,予約状況
1,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/01/06,15:00,16:00,ISLAND(39F),5igou1p0idov5fu3rdjmim15p6,予約受付中
2,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/01/08,14:00,15:00,KANKOKU-KAN(40F),7g0jop0fq761s2qe52o3b118mq,予約受付中
3,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/01/13,14:00,15:00,ISLAND(39F),6brfi84rnkto9n8edmtg866tn5,予約受付中
4,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/01/16,16:00,17:00,KANKOKU-KAN(40F),5imosvomdk1ksl8c447h1le99i,予約受付中
5,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/01/20,15:00,16:00,ISLAND(39F),5tc3btpub7ngbiitao5t6diomk,予約受付中
6,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/01/22,15:00,16:00,KANKOKU-KAN(40F),3j8ulp63l50f6luenillgfdc8c,予約受付中
7,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/01/27,14:00,15:00,ISLAND(39F),5tjq8a5hs4pnipm6mlk4v8vq9i,予約受付中
8,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/01/29,16:00,17:00,KANKOKU-KAN(40F),43rekvn6o2kliggefpb2r84tej,予約受付中
9,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/02/03,15:00,16:00,ISLAND(39F),07a74ga1fs34mvm2v43ln66lsp,予約受付中
10,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/02/05,14:00,15:00,KANKOKU-KAN(40F),6g2mvhuqn9ain3c9te4ur5817g,予約受付中
11,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/02/10,14:00,15:00,ISLAND(39F),66eptfcbl6o4b8h5dc6ml88s61,予約受付中
12,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/02/12,16:00,17:00,KANKOKU-KAN(40F),4l3rv56tu9bun14r6ehj3nl7pn,予約受付中
13,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/02/17,15:00,16:00,MANHATTAN(40F),2jgotmq4f1pk61sosm9c6kibuc,予約受付中
14,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/02/19,15:00,16:00,KANKOKU-KAN(40F),0opn9i2evrj64q2a8jutl96qj7,予約受付中
15,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/02/24,14:00,15:00,ISLAND(39F),062lfnsim5h4h48sdg2gfedkqt,予約受付中
16,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/02/26,16:00,17:00,KANKOKU-KAN(40F),4sqb91magdf3dkvd0pku6jb75u,予約受付中
17,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/03/03,15:00,16:00,ISLAND(39F),0lqorg6r6fk0gu03psj8o0fk0e,予約受付中
18,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/03/05,14:00,15:00,KANKOKU-KAN(40F),7aa86mm49mfuuuuklgq8bp8t40,予約受付中
19,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/03/10,14:00,15:00,ISLAND(39F),,予約受付中
20,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/03/12,16:00,17:00,KANKOKU-KAN(40F),5eokoua368olnnfbbku9fhul7p,予約受付中
21,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/03/17,15:00,16:00,MANHATTAN(40F),5tdktuiddu6su4ac7fkklnn06h,予約受付中
22,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2026/03/19,15:00,16:00,KANKOKU-KAN(40F),715ddn6cfn2k38iso4c5m8v213,予約受付中
23,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2026/03/24,14:00,15:00,ISLAND(39F),56bp0r7ihv4fbo0katd4637c0r,予約受付中
24,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2026/03/27,16:00,17:00,KANKOKU-KAN(40F),6tf7vlrlpf3hip9ovdt1h11j97,予約受付中
