予約ID(自動発行),コースID,予約名（自動反映）,コース案内（自動反映）,グループ名,日程,開始日時,完了日時,開催場所,イベントID,予約状況
1,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2025/11/06,15:00,16:00,,,設定する
2,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2025/11/07,16:00,17:00,,,設定する
3,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2025/11/11,15:30,16:30,,,設定する
4,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2025/11/14,16:00,17:00,,,設定する
5,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2025/11/18,14:00,15:00,,,設定する
6,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2025/11/20,15:00,16:00,,,設定する
7,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2025/11/27,15:00,16:00,,,設定する
8,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2025/11/28,16:00,17:00,,,設定する
9,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2025/12/02,14:00,15:00,,,設定する
10,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2025/12/04,16:00,15:00,,,設定する
11,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2025/12/09,14:00,15:00,,,設定する
12,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2025/12/11,15:00,16:00,,,設定する
13,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2025/12/16,14:00,15:00,,,設定する
14,継続研修A-02,契約・契約手続き/電子契約について,"・契約のイロハ
・電子契約の仕組みと本人性の担保",3期生,2025/12/18,16:00,15:00,,,設定する
15,継続研修A-03,お客様対応について,・ビジネスマナーと言葉遣い,3期生,2025/12/23,14:00,15:00,,,設定する
16,継続研修A-04,契約の解約・解除/損害賠償請求について,"・契約の解約と解除の違い
・損害賠償請求と事例",3期生,2025/12/25,15:00,16:00,,,設定する
17,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/10/01,14:00,15:00,,,設定する
18,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/10/02,16:00,17:00,,,設定する
19,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/10/06,14:00,15:00,,,設定する
20,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/10/08,15:00,16:00,,,設定する
21,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/10/09,16:00,17:00,,,設定する
22,継続研修A-05,個人情報について,"・個人情報にまつわるルール
・個人情報の取り扱い
・個人情報漏洩、紛失、毀損リスク（判例）",3期生,2026/01/06,15:00,16:00,,,設定する
23,継続研修A-06,クレーム対応の極意について,・クレーム対応の極意とクレーム対応事例,3期生,2026/01/08,14:00,15:00,,,設定する
24,継続研修A-07,クレーム対応の文書について,"・クレーム対応文書の基礎と文書構成
・謝罪文書作成演習",3期生,2026/01/13,14:00,15:00,,,設定する
25,継続研修A-08,販売契約のトラブルについて,"・不動産売買契約の基礎
・売買契約トラブル事例
・実需仲介リスクと対策",3期生,2026/01/16,16:00,17:00,,,設定する
26,継続研修A-09,仕入契約のトラブルについて,"・仕入れ契約の基礎
・仕入れにまつわるトラブル事例",3期生,2026/01/20,15:00,16:00,,,設定する
27,継続研修A-10,マスターリース・サブリースのトラブルについて,"・マスターリース・サブリースのおさらい
・特定賃貸借契約の判別方法
・サブリース業者にまつわるトラブル",3期生,2026/01/22,15:00,16:00,,,設定する
28,継続研修A-11,管理委託契約/賃貸借契約におけるトラブル対応,"・不動産賃貸管理の基礎（賃貸管理業法）
・賃貸借契約書
・入居中の修繕及び原状回復トラブル",3期生,2026/01/27,14:00,15:00,,,設定する
29,継続研修A-12,賃貸借トラブル（死亡・明渡訴訟等）対応,"・死亡、行方不明、明渡訴訟
・入居者間トラブル",3期生,2026/01/29,16:00,17:00,,,設定する
30,継続研修A-01,コンプライアンス/会社ルールについて,"・コンプライアンスの定義と法令及びリスク
・従業員の守るべき会社ルールと適用例",3期生,2026/02/03,15:00,16:00,,,設定する
