ID,作業名,フェーズ,期間,担当者,開始日,終了日,先行作業,成果物,確認事項,ステータス
1.0,キックオフ・要件定義,,,,,,,,
2.1,キックオフミーティング,計画,1日,全員,2025-12-10,2025-12-10,-,議事録,,✅ 完了
2.3,見積もり作業（Eng/QA）,計画,2日,小松/野原,2025-12-11,2025-12-12,2.1,見積もり結果,,🟡 進行中
2.4,QA方針協議,計画,1日,小松/野原,2025-12-11,2025-12-12,2.1,QA方針,,🟡 進行中
3.4,再送仕様確定,要件定義,2日,佐藤,2025-12-11,2025-12-12,2.1,仕様確定,,🟡 進行中
1.8,DocuSign API調査（ワークフロー制御）,準備,3日,小松,2025-12-11,2025-12-15,1.7,調査レポート,,🟡 進行中
1.8.1,ワークフロー一時停止・再開API仕様確認,準備,1日,小松,2025-12-11,2025-12-11,1.7,API仕様確認結果,,🟡 進行中
1.8.2,listRecipients API仕様確認,準備,0.5日,小松,2025-12-12,2025-12-12,1.7,API仕様確認結果,,🟡 進行中
1.8.3,エンベロープ作成時のワークフロー設定方法確認,準備,0.5日,小松,2025-12-12,2025-12-12,1.8.1,設定方法確認結果,,🟡 進行中
1.8.4,サンドボックス環境での動作検証,準備,1日,小松,2025-12-13,2025-12-15,"1.8.1,1.8.2,1.8.3",検証結果レポート,,⚪ 未着手
2.2,技術調査・基本設計,設計,2日,小松,2025-12-15,2025-12-16,"2.1,1.8.4",基本設計,,⚪ 未着手
4.1,Contractモデル拡張設計,設計,1日,小松,2025-12-16,2025-12-16,2.2,設計書,,⚪ 未着手
4.3,ワークフロー制御詳細設計,設計,2日,小松,2025-12-16,2025-12-17,2.2,詳細設計書,,⚪ 未着手
5.1,Contractモデル拡張実装,実装,3日,小松,2025-12-17,2025-12-19,4.1,実装コード,,⚪ 未着手
5.3,ワークフロー制御実装（一時停止・再開）,実装,4日,小松,2025-12-18,2025-12-23,4.3,実装コード,,⚪ 未着手
5.4,重説閲覧確認・契約ボタン制御実装,実装,3日,小松,2025-12-23,2025-12-25,5.3,実装コード,,⚪ 未着手
5.5,署名印字削除コード実装,実装,1日,小松,2025-12-25,2025-12-25,5.3,実装コード,,⚪ 未着手
6.1,単体テスト,テスト,2日,小松,2025-12-25,2025-12-26,5.5,テスト結果,,⚪ 未着手
6.4,QAテスト分析/設計,テスト,3日,野原,2026-01-05,2026-01-07,2.4,テスト仕様書,,⚪ 未着手
6.5,QAテスト実施,テスト,3日,野原,2026-01-08,2026-01-10,6.4,テスト結果,,⚪ 未着手
6.6,探索的テスト・修正,テスト,2日,野原,2026-01-13,2026-01-14,6.5,修正確認,,⚪ 未着手
7.1,リリース作業・検証,リリース,2日,小松/野原,2026-01-19,2026-01-20,6.6,リリース完了,,⚪ 未着手
